Designator,X (mm),Y (mm),Rotation,Side
C47,315.639704,200.324974,0.00,Top
C48,289.096704,198.038974,180.00,Top
C50,289.122104,199.969374,180.00,Top
C81,283.203904,201.315574,270.00,Top
C82,285.718504,201.518774,90.00,Top
C83,284.905704,201.518774,90.00,Top
U11,311.510121,198.636992,0.00,Top
J1,295.294304,181.173374,180.00,Top
C84,283.210127,197.936993,270.00,Top
C78,287.217104,198.038974,0.00,Top
C119,295.624504,184.856374,180.00,Top
C120,300.729904,189.466474,180.00,Top
R16,275.739301,189.353368,0.00,Bottom
R24,302.783113,190.275972,0.00,Bottom
R23,304.027002,189.881612,90.00,Bottom
R21,304.027002,191.831620,90.00,Bottom
R19,302.776915,191.403376,0.00,Bottom
R20,302.783113,192.225981,0.00,Bottom
R13,300.539404,195.092574,315.00,Bottom
L14,314.649028,187.396298,180.00,Top
C86,282.441904,186.108594,270.00,Bottom
R42,295.637204,198.000874,90.00,Bottom
R43,286.315404,186.062874,270.00,Bottom
R44,285.502604,186.062874,270.00,Bottom
U26,283.955744,187.073794,270.00,Bottom
J6,268.664309,192.653387,90.00,Top
R45,298.697904,204.820774,270.00,Top
R46,298.913804,195.016374,270.00,Top
U27,300.964295,204.403376,0.00,Top
U28,301.136304,194.432174,0.00,Top
D7,319.754504,194.609974,180.00,Top
D8,319.754504,193.238374,180.00,Top
D9,319.754504,196.895974,180.00,Top
D10,319.754504,198.242174,180.00,Top
D11,271.941544,205.387194,270.00,Top
D12,273.165824,205.392274,270.00,Top
R47,321.227704,196.565774,180.00,Bottom
R48,321.227704,195.752974,180.00,Bottom
R49,319.513204,196.578474,180.00,Bottom
R50,319.525904,197.861174,180.00,Bottom
R51,271.951704,203.220574,90.00,Top
R52,273.170904,203.220574,90.00,Top
C121,273.856704,198.445374,270.00,Top
C126,277.057104,196.387974,90.00,Bottom
C125,275.812504,188.056774,270.00,Bottom
C127,304.797917,200.520783,270.00,Bottom
L20,314.649028,186.380298,180.00,Top
L21,270.478580,199.054898,0.00,Bottom
U16,295.700704,191.160654,180.00,Bottom
C70,288.164524,187.439554,90.00,Bottom
C71,289.002724,187.444634,90.00,Bottom
L18,288.484640,189.028578,90.00,Bottom
U25,286.556704,188.539374,90.00,Bottom
U12,295.548304,200.909174,0.00,Top
